,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1008790,Auction Lost,148634.77307483516,234827.4339560396,Bid,No,,,,"Merry: $1,055,342, Frodo: $207,655, Aragorn: $199,603, You: $199,603, Sam: $192,783, Gimli: $190,917",Merry
1,1002958,Auction Lost,87134.19032528899,559857.3471401477,Bid,No,,,,"Merry: $1,670,808, Legolas: $1,618,538, Sam: $492,709, Aragorn: $475,879, You: $475,879, Frodo: $446,343, Gimli: $434,384",Merry
2,1002642,Auction Lost,838284.5919388812,1053499.7492454296,Bid,No,,,,"Legolas: $1,063,968, Aragorn: $895,475, You: $895,475, Sam: $858,859",Legolas
3,1000006,Skip,,579690.2675021911,Skip: below threshold,—,,,,,
4,1004782,Skip,,123529.50225675962,Skip: below threshold,—,,,,,
5,1010325,Auction Lost,57453.37856982056,231273.95921204248,Bid,No,,,,"Merry: $1,029,471, Legolas: $349,185, Aragorn: $196,583, You: $196,583, Sam: $194,540, Gimli: $186,374, Frodo: $180,537",Merry
6,1000489,Skip,,488463.5064896008,Skip: below threshold,—,,,,,
7,1016650,Skip,,472731.2026917144,Skip: below threshold,—,,,,,
8,1001485,Auction Lost,184320.0140230246,242002.15687344573,Bid,No,,,,"Legolas: $1,509,422, Merry: $433,969, Aragorn: $205,702, You: $205,702, Gimli: $201,749, Frodo: $193,798, Sam: $192,043",Legolas
9,1010393,Skip,,298028.2446046231,Skip: below threshold,—,,,,,
10,1016453,Loss,476053.6578888851,1002953.2720391086,Bid,Yes,869560.4868579071,564008.6393088553,-305551.84754905186,"Aragorn: $852,510, You: $852,510, Frodo: $604,285, Gimli: $586,048, Sam: $573,315, Legolas: $506,204",You
11,1005388,Auction Lost,105930.54150740964,401800.75302648,Bid,No,,,,"Sam: $348,875, Aragorn: $341,531, You: $341,531, Frodo: $324,893, Gimli: $301,918, Legolas: $131,051",Sam
12,1002990,Skip,,297246.6980971949,Skip: below threshold,—,,,,,
13,1006113,Auction Lost,779035.5350380623,901997.8924460916,Bid,No,,,,"Aragorn: $766,698, You: $766,698",Aragorn
14,1014317,Skip,,403512.2959907222,Skip: below threshold,—,,,,,
15,1002177,Skip,,522531.4441693704,Skip: below threshold,—,,,,,
16,1015637,Skip,,786855.8567494288,Skip: below threshold,—,,,,,
17,1012355,Auction Lost,62526.81895748357,257048.8279181131,Bid,No,,,,"Merry: $580,634, Legolas: $329,207, Aragorn: $218,492, You: $218,492, Frodo: $213,127, Sam: $212,580, Gimli: $205,162",Merry
18,1004564,Auction Lost,97238.60364211413,291153.72953363514,Bid,No,,,,"Legolas: $1,263,171, Merry: $1,212,814, Aragorn: $247,481, You: $247,481, Gimli: $174,786, Frodo: $174,431, Sam: $166,166",Legolas
19,1001465,Skip,,462934.9958761313,Skip: below threshold,—,,,,,
20,1013764,Loss,572663.5641505813,1050552.4336793765,Bid,Yes,910828.9600000194,452530.57384760113,-458298.3861524183,"Aragorn: $892,970, You: $892,970",You
21,1015110,Auction Lost,262034.53997774556,512667.1318636462,Bid,No,,,,"Merry: $832,205, Aragorn: $435,767, You: $435,767, Frodo: $360,281, Sam: $352,073, Gimli: $335,806",Merry
22,1010702,Skip,,335856.6067112812,Skip: below threshold,—,,,,,
23,1016837,Skip,,660722.1943838428,Skip: below threshold,—,,,,,
24,1009707,Skip,,342265.88121133443,Skip: below threshold,—,,,,,
25,1011343,Skip,,581684.7475113252,Skip: below threshold,—,,,,,
26,1016274,Auction Lost,504946.68785549595,689240.5183144134,Bid,No,,,,"Aragorn: $585,854, You: $585,854, Frodo: $533,530",Aragorn
27,1010843,Skip,,438773.3524328288,Skip: below threshold,—,,,,,
28,1002140,Auction Lost,345107.7596479569,383147.27244223707,Bid,No,,,,"Sam: $367,915, Aragorn: $325,675, You: $325,675",Sam
29,1015957,Auction Lost,352080.58917039476,632226.4619570161,Bid,No,,,,"Aragorn: $537,392, You: $537,392, Frodo: $391,692, Sam: $390,997, Gimli: $331,238",Aragorn
30,1016150,Auction Lost,144938.8274871504,352796.0202329153,Bid,No,,,,"Merry: $671,557, Legolas: $396,631, Aragorn: $299,877, You: $299,877, Frodo: $279,494, Sam: $277,193, Gimli: $253,995",Merry
31,1013238,Skip,,142069.94399472798,Skip: below threshold,—,,,,,
32,1012469,Skip,,353453.3903296411,Skip: below threshold,—,,,,,
33,1004064,Skip,,937060.1775157629,Skip: below threshold,—,,,,,
34,1006595,Auction Lost,230337.99927687348,425842.37582886405,Bid,No,,,,"Sam: $369,687, Aragorn: $361,966, You: $361,966, Frodo: $338,660, Gimli: $303,494",Sam
35,1003809,Skip,,359088.3767068973,Skip: below threshold,—,,,,,
36,1006136,Auction Lost,158735.863362728,188594.6635606384,Bid,No,,,,"Sam: $188,755, Frodo: $172,412, Legolas: $167,381, Gimli: $160,479, Aragorn: $160,305, You: $160,305",Sam
37,1006247,Auction Lost,366354.9538749452,443394.00844354986,Bid,No,,,,"Aragorn: $376,885, You: $376,885",Aragorn
38,1003514,Auction Lost,506824.3166327154,707384.123638524,Bid,No,,,,"Aragorn: $601,277, You: $601,277, Sam: $526,581, Gimli: $474,625, Frodo: $466,408",Aragorn
39,1014480,Skip,,191680.23262987708,Skip: below threshold,—,,,,,
40,1002380,Skip,,288966.7122338306,Skip: below threshold,—,,,,,
41,1014206,Auction Lost,104895.24202447518,223701.1056296369,Bid,No,,,,"Legolas: $288,617, Aragorn: $190,146, You: $190,146, Frodo: $186,766, Sam: $178,899, Gimli: $166,267",Legolas
42,1013512,Loss,354693.71471267735,437298.5289517846,Bid,Yes,379137.8246011972,367050.4451038576,-12087.3794973396,"Aragorn: $371,704, You: $371,704",You
43,1011360,Auction Lost,160112.43168864527,173223.49276869203,Bid,No,,,,"Sam: $168,387, Frodo: $155,149, Aragorn: $147,240, You: $147,240",Sam
44,1014331,Profit,302017.32358217676,352513.3996700376,Bid,Yes,308057.6700538203,419722.3764575236,111664.70640370331,"Aragorn: $299,636, You: $299,636, Sam: $291,015",You
45,1009670,Skip,,834251.2061360977,Skip: below threshold,—,,,,,
46,1012647,Skip,,840084.9248504044,Skip: below threshold,—,,,,,
47,1010020,Skip,,420832.5270610575,Skip: below threshold,—,,,,,
48,1003824,Skip,,335969.3060822783,Skip: below threshold,—,,,,,
49,1007761,Skip,,622388.4186917535,Skip: below threshold,—,,,,,
50,1013072,Skip,,618025.765706585,Skip: below threshold,—,,,,,
51,1017239,Skip,,138130.18392740228,Skip: below threshold,—,,,,,
52,1007778,Skip,,325775.5881874825,Skip: below threshold,—,,,,,
53,1014753,Skip,,337420.5335213629,Skip: below threshold,—,,,,,
54,1003299,Skip,,267739.51892546634,Skip: below threshold,—,,,,,
55,1008226,Auction Lost,321348.0035132506,528843.1233876481,Bid,No,,,,"Frodo: $468,118, Sam: $467,027, Aragorn: $449,517, You: $449,517, Gimli: $414,832",Frodo
56,1006855,Skip,,452989.92938734806,Skip: below threshold,—,,,,,
57,1009939,Skip,,775034.7380352784,Skip: below threshold,—,,,,,
58,1010981,Loss,233500.98903208965,331713.5616761344,Bid,Yes,287595.6579732085,217273.5416556885,-70322.11631752003,"Aragorn: $281,957, You: $281,957, Sam: $250,434, Frodo: $231,075, Gimli: $218,681",You
59,1009934,Auction Lost,76754.41164463476,356116.9259845074,Bid,No,,,,"Merry: $1,094,152, Legolas: $486,957, Aragorn: $302,699, You: $302,699, Frodo: $280,223, Sam: $259,343, Gimli: $235,150",Merry
60,1014027,Skip,,105553.59032351203,Skip: below threshold,—,,,,,
61,1015927,Skip,,895116.6776692678,Skip: below threshold,—,,,,,
62,1003196,Skip,,326804.09432105586,Skip: below threshold,—,,,,,
63,1003070,Auction Lost,368474.11055251013,505593.3187153919,Bid,No,,,,"Aragorn: $429,754, You: $429,754",Aragorn
64,1013397,Skip,,481303.41553288186,Skip: below threshold,—,,,,,
65,1000486,Auction Lost,131927.14804292723,321161.44874528603,Bid,No,,,,"Frodo: $355,774, Sam: $338,059, Gimli: $314,565, Aragorn: $272,987, You: $272,987",Frodo
66,1008380,Skip,,834423.2090794571,Skip: below threshold,—,,,,,
67,1016806,Loss,286325.6030219342,573127.4945368042,Bid,Yes,496901.5377634092,305884.63285389857,-191016.90490951063,"Aragorn: $487,158, You: $487,158, Sam: $393,147, Gimli: $385,939, Frodo: $369,021",You
68,1008419,Skip,,229263.67367849528,Skip: below threshold,—,,,,,
69,1002226,Loss,138573.310321451,293171.1023660853,Bid,Yes,254179.34575139591,228527.08881806847,-25652.256933327444,"Aragorn: $249,195, You: $249,195, Sam: $248,763, Frodo: $198,135, Gimli: $174,272",You
70,1004993,Auction Lost,241704.44340162227,338792.5905428802,Bid,No,,,,"Sam: $304,884, Frodo: $297,070, Aragorn: $287,974, You: $287,974, Gimli: $261,151",Sam
71,1003572,Loss,147029.62543621444,377519.5902819788,Bid,Yes,327309.4847744756,122149.90677439402,-205159.5780000816,"Aragorn: $320,892, You: $320,892, Frodo: $212,107, Sam: $209,010, Gimli: $208,462",You
72,1002512,Loss,118719.41346236292,488740.4952500544,Bid,Yes,423738.00938179716,127363.28715593011,-296374.72222586704,"Aragorn: $415,429, You: $415,429, Sam: $370,010, Gimli: $362,204, Frodo: $355,872",You
73,1001065,Auction Lost,62353.474599586276,593975.7766895848,Bid,No,,,,"Legolas: $537,141, Sam: $524,240, Frodo: $521,968, Aragorn: $504,879, You: $504,879, Gimli: $443,420",Legolas
74,1007635,Skip,,469525.33967419545,Skip: below threshold,—,,,,,
75,1003794,Skip,,561209.08512755,Skip: below threshold,—,,,,,
76,1011496,Skip,,857221.8061364879,Skip: no budget,—,,,,,
77,1016386,Skip,,755436.7735634341,Skip: no budget,—,,,,,
78,1006684,Skip,,279196.33459398104,Skip: below threshold,—,,,,,
79,1000605,Auction Lost,175059.1420324867,194088.9183492314,Bid,No,,,,"Frodo: $181,188, Aragorn: $164,976, You: $164,976",Frodo
80,1006398,Skip,,500363.434863717,Skip: below threshold,—,,,,,
81,1000669,Skip,,727381.3290115113,Skip: below threshold,—,,,,,
82,1013699,Skip,,393729.8903161542,Skip: no budget,—,,,,,
83,1016576,Skip,,388692.2985347432,Skip: below threshold,—,,,,,
84,1002791,Skip,,958927.6055666526,Skip: below threshold,—,,,,,
85,1015817,Skip,,826500.4498365478,Skip: below threshold,—,,,,,
86,1004135,Skip,,211287.78262819813,Skip: below threshold,—,,,,,
87,1016707,Skip,,1064066.2233680473,Skip: below threshold,—,,,,,
88,1017250,Skip,,336886.61832185555,Skip: no budget,—,,,,,
89,1003965,Skip,,309449.4586698948,Skip: no budget,—,,,,,
90,1006090,Skip,,595391.0556445599,Skip: below threshold,—,,,,,
91,1009383,Skip,,307948.4384850843,Skip: no budget,—,,,,,
92,1015990,Auction Lost,166503.12215888014,274958.2516750159,Bid,No,,,,"Sam: $316,158, Frodo: $292,298, Gimli: $260,172, Aragorn: $233,715, You: $233,715",Sam
93,1003383,Skip,,352796.65663178544,Skip: no budget,—,,,,,
94,1012235,Skip,,284528.666865229,Skip: below threshold,—,,,,,
95,1000197,Skip,,733273.0425246056,Skip: below threshold,—,,,,,
96,1013305,Skip,,474500.53794580296,Skip: below threshold,—,,,,,
97,1016494,Skip,,271412.30447326263,Skip: below threshold,—,,,,,
98,1000189,Skip,,703562.2348256112,Skip: no budget,—,,,,,
99,1015407,Skip,,229600.3771462949,Skip: no budget,—,,,,,
100,1017158,Loss,164494.95795901073,219844.0280936612,Bid,Yes,190604.7723572043,175223.445881164,-15381.326476040296,"Aragorn: $186,867, You: $186,867, Sam: $163,096",You
101,1000820,Skip,,324328.36896353366,Skip: below threshold,—,,,,,
102,1010709,Skip,,453393.5169234973,Skip: no budget,—,,,,,
103,1001390,Skip,,802374.8808485308,Skip: below threshold,—,,,,,
104,1003654,Skip,,511588.6200079494,Skip: no budget,—,,,,,
105,1013798,Skip,,445885.84624881874,Skip: no budget,—,,,,,
106,1006853,Skip,,526773.029335299,Skip: below threshold,—,,,,,
107,1008466,Skip,,591875.2527935455,Skip: no budget,—,,,,,
108,1008029,Skip,,815661.187914375,Skip: below threshold,—,,,,,
109,1010268,Skip,,373685.9518125916,Skip: below threshold,—,,,,,
110,1003187,Skip,,414053.9897522712,Skip: no budget,—,,,,,
111,1016569,Skip,,855466.5010571074,Skip: no budget,—,,,,,
112,1002582,Skip,,489840.1246626924,Skip: no budget,—,,,,,
113,1009929,Skip,,453296.9669858223,Skip: below threshold,—,,,,,
114,1002355,Skip,,192700.7742419105,Skip: below threshold,—,,,,,
115,1015692,Skip,,640401.852966103,Skip: no budget,—,,,,,
116,1015011,Skip,,139229.29557987137,Skip: below threshold,—,,,,,
117,1010132,Auction Lost,40369.68966257695,120221.8521064317,Bid,No,,,,"Aragorn: $102,189, You: $102,189, Sam: $94,944, Gimli: $88,316, Frodo: $79,934",Aragorn
118,1004387,Auction Lost,10000,918725.4024044072,Bid,No,,,,"Sam: $976,358, Frodo: $883,611, Gimli: $811,873, Aragorn: $780,917, You: $780,917",Sam
119,1000039,Skip,,655395.8415216609,Skip: no budget,—,,,,,
120,1016843,Skip,,468007.51326017646,Skip: no budget,—,,,,,
121,1004951,Loss,53183.419771170375,651745.0096101351,Bid,Yes,565062.9233319871,56238.2359627188,-508824.68736926833,"Aragorn: $553,983, You: $553,983, Frodo: $404,745, Gimli: $388,834",You
122,1014825,Skip,,179597.7951716349,Skip: below threshold,—,,,,,
123,1015019,Skip,,492177.7334174943,Skip: no budget,—,,,,,
124,1010831,Skip,,1073029.93686468,Skip: below threshold,—,,,,,
125,1009878,Skip,,293973.0911848283,Skip: no budget,—,,,,,
126,1006357,Skip,,951915.7224842316,Skip: below threshold,—,,,,,
127,1008202,Skip,,254885.4615475944,Skip: no budget,—,,,,,
128,1009629,Skip,,404219.1340136154,Skip: no budget,—,,,,,
129,1009041,Skip,,315241.710691859,Skip: below threshold,—,,,,,
130,1015082,Skip,,382224.3667715514,Skip: no budget,—,,,,,
131,1003599,Skip,,604156.5454166085,Skip: below threshold,—,,,,,
132,1016954,Skip,,650853.9842208888,Skip: below threshold,—,,,,,
133,1014937,Skip,,767648.2133700562,Skip: no budget,—,,,,,
134,1003519,Skip,,832355.2180748443,Skip: below threshold,—,,,,,
135,1002114,Skip,,426701.99296373,Skip: no budget,—,,,,,
136,1010776,Skip,,875101.6677850697,Skip: no budget,—,,,,,
137,1015640,Skip,,1163900.9073381564,Skip: below threshold,—,,,,,
138,1000916,Skip,,915394.989077563,Skip: no budget,—,,,,,
139,1001322,Skip,,608866.2225695845,Skip: below threshold,—,,,,,
140,1015516,Skip,,518271.72994702455,Skip: below threshold,—,,,,,
141,1001406,Skip,,494142.79622978624,Skip: no budget,—,,,,,
142,1003117,Skip,,572719.1286533134,Skip: no budget,—,,,,,
143,1001536,Skip,,290229.0178920223,Skip: below threshold,—,,,,,
144,1017507,Skip,,597818.1567602291,Skip: no budget,—,,,,,
145,1000324,Skip,,706235.109541163,Skip: no budget,—,,,,,
146,1015742,Skip,,209092.07440370927,Skip: below threshold,—,,,,,
147,1014769,Skip,,341910.39157484745,Skip: below threshold,—,,,,,
148,1003520,Skip,,525453.4536236748,Skip: no budget,—,,,,,
149,1008729,Skip,,472331.6443427957,Skip: no budget,—,,,,,
150,1011971,Skip,,588780.1452581584,Skip: below threshold,—,,,,,
151,1006401,Skip,,514876.1065310486,Skip: below threshold,—,,,,,
152,1001890,Skip,,1152243.3955159648,Skip: no budget,—,,,,,
153,1010251,Skip,,365014.3754105355,Skip: below threshold,—,,,,,
154,1008139,Skip,,348124.48604283435,Skip: below threshold,—,,,,,
155,1015269,Skip,,1013931.6511610592,Skip: no budget,—,,,,,
156,1011513,Skip,,193242.40543520945,Skip: no budget,—,,,,,
157,1011882,Skip,,200357.60102102807,Skip: no budget,—,,,,,
158,1015347,Skip,,590731.3205184552,Skip: below threshold,—,,,,,
159,1015582,Skip,,944096.6636730924,Skip: below threshold,—,,,,,
160,1009665,Skip,,698035.6064166679,Skip: no budget,—,,,,,
161,1010508,Skip,,457472.7939686116,Skip: no budget,—,,,,,
162,1010463,Skip,,972325.822933532,Skip: below threshold,—,,,,,
163,1006947,Skip,,185467.21463823903,Skip: no budget,—,,,,,
164,1008141,Skip,,364210.0943263832,Skip: below threshold,—,,,,,
165,1009198,Skip,,837931.3077094941,Skip: no budget,—,,,,,
166,1013623,Skip,,575527.1009079826,Skip: below threshold,—,,,,,
167,1003922,Skip,,388497.2718220651,Skip: no budget,—,,,,,
168,1003116,Skip,,911800.86417472,Skip: below threshold,—,,,,,
169,1006659,Skip,,580487.778654584,Skip: below threshold,—,,,,,
170,1001453,Skip,,235771.94236362496,Skip: below threshold,—,,,,,
171,1012398,Skip,,424044.566831482,Skip: below threshold,—,,,,,
172,1016566,Skip,,158689.69974849265,Skip: no budget,—,,,,,
173,1004733,Skip,,598804.1567732233,Skip: below threshold,—,,,,,
174,1010533,Skip,,333755.1597266681,Skip: no budget,—,,,,,
175,1016219,Skip,,574070.1751863525,Skip: below threshold,—,,,,,
176,1010466,Skip,,1347017.7559800197,Skip: no budget,—,,,,,
177,1003265,Skip,,480914.7526686781,Skip: below threshold,—,,,,,
178,1016279,Skip,,404313.2326171919,Skip: no budget,—,,,,,
179,1017214,Skip,,395413.0918075748,Skip: no budget,—,,,,,
180,1004209,Skip,,772164.1894351351,Skip: no budget,—,,,,,
181,1015683,Skip,,622767.7699734004,Skip: below threshold,—,,,,,
182,1007722,Skip,,390483.2181735143,Skip: no budget,—,,,,,
183,1003358,Skip,,137681.96244002294,Skip: below threshold,—,,,,,
184,1006698,Skip,,695719.0724908465,Skip: no budget,—,,,,,
185,1012567,Skip,,616866.1383276456,Skip: below threshold,—,,,,,
186,1012482,Skip,,1222280.6875332587,Skip: no budget,—,,,,,
187,1006148,Skip,,628267.923848557,Skip: no budget,—,,,,,
188,1009279,Skip,,439055.8092870708,Skip: no budget,—,,,,,
189,1017591,Skip,,163660.49346105155,Skip: no budget,—,,,,,
190,1002162,Skip,,290618.92249726935,Skip: below threshold,—,,,,,
191,1000976,Skip,,829695.3756361606,Skip: no budget,—,,,,,
192,1012457,Skip,,378081.4808577518,Skip: below threshold,—,,,,,
193,1006098,Skip,,570375.726433631,Skip: below threshold,—,,,,,
194,1014360,Skip,,137193.81286862865,Skip: no budget,—,,,,,
195,1010338,Skip,,140999.65123373712,Skip: below threshold,—,,,,,
196,1015904,Skip,,761174.3177525821,Skip: no budget,—,,,,,
197,1008507,Skip,,655858.4850720818,Skip: no budget,—,,,,,
198,1014228,Skip,,316512.0129924576,Skip: below threshold,—,,,,,
199,1013657,Skip,,587069.2198234389,Skip: below threshold,—,,,,,
200,1007955,Skip,,496829.5259421808,Skip: below threshold,—,,,,,
201,1010999,Skip,,351083.2950389564,Skip: no budget,—,,,,,
202,1009251,Skip,,906695.5424894528,Skip: no budget,—,,,,,
203,1006183,Skip,,207030.5017315856,Skip: below threshold,—,,,,,
204,1014611,Skip,,459245.3260072306,Skip: no budget,—,,,,,
205,1009079,Skip,,326979.60435407434,Skip: below threshold,—,,,,,
206,1013761,Skip,,309011.606335477,Skip: below threshold,—,,,,,
207,1016408,Skip,,292182.49634331773,Skip: no budget,—,,,,,
208,1006496,Skip,,140854.38471599366,Skip: no budget,—,,,,,
209,1010666,Skip,,216475.84115155708,Skip: no budget,—,,,,,
210,1004014,Skip,,499713.5801704906,Skip: no budget,—,,,,,
211,1002110,Skip,,585141.7999958501,Skip: below threshold,—,,,,,
212,1005492,Skip,,213609.9084953036,Skip: no budget,—,,,,,
213,1001884,Skip,,146909.13384963502,Skip: no budget,—,,,,,
214,1016679,Skip,,141313.53644168135,Skip: no budget,—,,,,,
215,1004076,Skip,,248283.5459145491,Skip: no budget,—,,,,,
216,1014259,Skip,,333673.7246628317,Skip: below threshold,—,,,,,
217,1002111,Skip,,1193409.4279900668,Skip: below threshold,—,,,,,
218,1014171,Skip,,482654.63101725647,Skip: no budget,—,,,,,
219,1000142,Skip,,266035.9286755488,Skip: below threshold,—,,,,,
220,1007823,Skip,,378432.6194929976,Skip: below threshold,—,,,,,
221,1008771,Skip,,518641.1969761076,Skip: no budget,—,,,,,
222,1003446,Skip,,262182.3687744133,Skip: below threshold,—,,,,,
223,1006887,Skip,,408147.30952165794,Skip: no budget,—,,,,,
224,1012508,Skip,,413064.2677011783,Skip: no budget,—,,,,,
225,1012570,Skip,,441687.0628253585,Skip: no budget,—,,,,,
226,1001732,Skip,,927559.0831038431,Skip: below threshold,—,,,,,
227,1014039,Skip,,503946.007024658,Skip: below threshold,—,,,,,
228,1009171,Skip,,540034.0264781723,Skip: below threshold,—,,,,,
229,1005505,Skip,,1202284.9950336327,Skip: below threshold,—,,,,,
230,1007703,Skip,,622443.0009520502,Skip: below threshold,—,,,,,
231,1009220,Skip,,482237.6522308945,Skip: below threshold,—,,,,,
232,1016381,Skip,,199947.0471318617,Skip: below threshold,—,,,,,
233,1002353,Skip,,768778.9301318589,Skip: no budget,—,,,,,
234,1008936,Skip,,201202.55323251933,Skip: below threshold,—,,,,,
235,1009607,Skip,,606399.7976618047,Skip: below threshold,—,,,,,
236,1006321,Skip,,395539.00628190936,Skip: no budget,—,,,,,
237,1005860,Skip,,383686.564158592,Skip: no budget,—,,,,,
238,1014722,Skip,,199866.64231103144,Skip: no budget,—,,,,,
239,1000563,Skip,,186485.90473209007,Skip: no budget,—,,,,,
240,1010559,Skip,,679541.5178933422,Skip: no budget,—,,,,,
241,1017248,Skip,,207163.98428782364,Skip: no budget,—,,,,,
242,1003447,Skip,,392410.4448057263,Skip: below threshold,—,,,,,
243,1005172,Skip,,880860.0596487332,Skip: below threshold,—,,,,,
244,1015883,Skip,,1409597.522480592,Skip: no budget,—,,,,,
245,1003243,Skip,,182719.9348252033,Skip: below threshold,—,,,,,
246,1011121,Skip,,781051.9634817804,Skip: below threshold,—,,,,,
247,1017368,Skip,,357758.47705454484,Skip: no budget,—,,,,,
248,1009749,Skip,,1087087.7119135472,Skip: below threshold,—,,,,,
249,1012973,Skip,,421548.5883733795,Skip: no budget,—,,,,,
